[2020-01-29 14:02:20] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 14:02:21] 
[2020-01-29 14:02:21] 14:02:20      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 14:05:59] 14:05:59    20001     22897    164.00      0.00 1690348  516160   4.20  node /users/dyv
[2020-01-29 14:06:00] 14:06:00    20001     22897    846.00      0.00 1690348  518692   4.22  node /users/dyv
[2020-01-29 14:06:01] 14:06:01    20001     22897    148.00      0.00 1690348  518184   4.22  node /users/dyv
[2020-01-29 14:06:02] 14:06:02    20001     22897   1579.00      0.00 1690348  518848   4.22  node /users/dyv
[2020-01-29 14:06:03] 14:06:03    20001     22897    427.00      0.00 1690348  519196   4.23  node /users/dyv
[2020-01-29 14:06:04] 14:06:04    20001     22897    141.00      0.00 1690348  519196   4.23  node /users/dyv
[2020-01-29 14:06:05] 14:06:05    20001     22897   6521.00      0.00 1688812  490704   3.99  node /users/dyv
[2020-01-29 14:06:06] 14:06:06    20001     22897     43.00      0.00 1688812  490704   3.99  node /users/dyv
[2020-01-29 14:06:07] 14:06:07    20001     22897      2.00      0.00 1688812  490704   3.99  node /users/dyv
[2020-01-29 14:06:08] 14:06:08    20001     22897     18.00      0.00 1688812  490704   3.99  node /users/dyv
[2020-01-29 14:06:09] 14:06:09    20001     22897     63.00      0.00 1688812  490788   4.00  node /users/dyv
[2020-01-29 14:06:10] 14:06:10    20001     22897    156.00      0.00 1688812  491564   4.00  node /users/dyv
[2020-01-29 14:06:11] 14:06:11    20001     22897     81.00      0.00 1688812  488740   3.98  node /users/dyv
[2020-01-29 14:06:12] 14:06:12    20001     22897    146.00      0.00 1688812  489196   3.98  node /users/dyv
[2020-01-29 14:06:13] 14:06:13    20001     22897    180.00      0.00 1688812  488932   3.98  node /users/dyv
[2020-01-29 14:06:14] 14:06:14    20001     22897    139.00      0.00 1688812  489448   3.98  node /users/dyv
[2020-01-29 14:06:15] 14:06:15    20001     22897    178.00      0.00 1688812  489164   3.98  node /users/dyv
[2020-01-29 14:06:16] 14:06:16    20001     22897    165.00      0.00 1688812  488664   3.98  node /users/dyv
[2020-01-29 14:06:17] 14:06:17    20001     22897    139.00      0.00 1688812  489136   3.98  node /users/dyv
